district_name,district_code,total_number_of_classes,average_class_size,number_of_students,african_american_percent,asian_percent,hispanic_percent,white_percent,native_american_percent,native_hawaiian_pacific_islander_percent,multi_race_non_hispanic_percent,year
Neighborhood House Charter (District),04440000,364,16.7,795,52.8,2.5,25.8,13.0,0.8,0.0,5.2,2020-21
New Bedford,02010000,"6,457",17.0,"12,685",13.5,0.8,41.8,38.1,0.3,0.1,5.4,2020-21
New Heights Charter School of Brockton (District),35130000,190,24.0,636,87.7,0.6,7.1,1.4,0.2,0.0,3.0,2020-21
New Salem-Wendell,07280000,79,16.4,131,0.0,0.0,4.6,87.8,0.0,0.0,7.6,2020-21
Newburyport,02040000,"1,712",14.0,"2,150",0.9,1.9,4.3,90.3,0.0,0.0,2.6,2020-21
Newton,02070000,"5,815",17.1,"12,121",4.6,20.1,8.6,58.9,0.1,0.1,7.7,2020-21
Norfolk,02080000,243,22.3,987,0.7,2.4,3.3,90.6,0.0,0.0,2.9,2020-21
Norfolk County Agricultural,09150000,445,16.7,586,1.2,1.2,1.4,91.0,0.3,0.3,4.6,2020-21
North Adams,02090000,555,14.9,"1,300",2.3,0.5,6.9,81.2,0.4,0.3,8.4,2020-21
North Andover,02110000,"3,044",18.0,"4,559",2.9,7.6,13.5,72.5,0.1,0.1,3.3,2020-21
North Attleborough,02120000,"2,158",15.6,"3,991",4.4,7.6,5.3,78.4,0.2,0.1,4.0,2020-21
North Brookfield,02150000,230,11.2,516,1.0,0.6,7.2,87.0,0.0,0.0,4.3,2020-21
North Middlesex,07350000,"1,579",18.6,"2,941",2.0,1.9,5.3,87.5,0.1,0.0,3.2,2020-21
North Reading,02170000,"1,297",17.3,"2,313",0.7,4.7,4.2,87.2,0.0,0.0,3.2,2020-21
Northampton,02100000,"1,207",16.8,"2,648",3.2,3.1,16.6,69.9,0.2,0.0,7.0,2020-21
Northampton-Smith Vocational Agricultural,04060000,429,12.4,535,1.5,0.6,12.9,83.2,0.0,0.2,1.7,2020-21
Northboro-Southboro,07300000,802,14.6,"1,357",1.6,12.3,6.6,74.5,0.4,0.4,4.2,2020-21
Northborough,02130000,610,15.8,"1,531",1.4,12.6,9.7,70.2,0.5,2.3,3.4,2020-21
Northbridge,02140000,804,17.8,"1,971",1.1,0.8,9.2,83.7,0.1,0.1,5.1,2020-21
Northeast Metropolitan Regional Vocational Technical,08530000,"1,502",11.5,"1,292",3.2,0.9,33.7,60.3,0.1,0.2,1.8,2020-21
Northern Berkshire Regional Vocational Technical,08510000,441,11.1,501,0.8,0.6,1.4,95.4,0.0,0.0,1.8,2020-21
Norton,02180000,"1,341",15.9,"2,403",2.3,1.9,4.0,88.1,0.2,0.0,3.6,2020-21
Norwell,02190000,952,14.9,"2,223",0.3,2.2,1.5,92.3,0.0,0.1,3.6,2020-21
Norwood,02200000,"2,751",8.6,"3,425",10.6,8.3,17.1,60.5,0.1,0.6,2.8,2020-21
Oak Bluffs,02210000,198,16.7,448,3.4,1.3,32.1,55.8,1.1,0.0,6.3,2020-21
Old Colony Regional Vocational Technical,08550000,248,16.6,553,0.5,0.9,2.2,93.7,0.2,0.0,2.5,2020-21
Old Rochester,07400000,"1,240",8.8,"1,136",2.3,1.4,1.9,89.4,0.1,0.0,4.9,2020-21
Old Sturbridge Academy Charter Public School (District),35150000,7,40.0,280,4.6,0.7,13.2,80.4,0.0,0.0,1.1,2020-21
Orange,02230000,153,15.4,472,1.3,0.6,8.5,84.5,0.2,0.0,4.9,2020-21
Orleans,02240000,190,10.9,174,4.0,1.2,10.9,78.7,0.6,0.0,4.6,2020-21
Oxford,02260000,622,16.5,"1,488",2.4,1.1,12.8,79.1,0.1,0.1,4.2,2020-21
Palmer,02270000,985,14.7,"1,208",3.7,2.5,13.3,75.9,0.1,0.0,4.5,2020-21
Pathfinder Regional Vocational Technical,08600000,548,11.3,602,0.7,0.0,4.2,92.2,0.0,0.0,3.0,2020-21
Paulo Freire Social Justice Charter School (District),35010000,184,15.1,250,10.0,0.4,86.8,2.4,0.0,0.4,0.0,2020-21
Peabody,02290000,"2,964",16.4,"5,813",3.8,2.1,19.4,72.5,0.2,0.0,2.0,2020-21
Pelham,02300000,43,13.9,102,3.9,4.9,12.8,72.6,0.0,0.0,5.9,2020-21
Pembroke,02310000,"1,195",16.9,"2,620",0.5,1.0,1.9,94.0,0.1,0.0,2.5,2020-21
Pentucket,07450000,"1,226",16.3,"2,191",0.4,1.2,6.0,89.9,0.1,0.0,2.5,2020-21
Petersham,02340000,49,15.9,121,0.0,0.0,8.3,88.4,0.0,0.0,3.3,2020-21
Phoenix Academy Public Charter High School Lawrence (District),35180000,46,6.5,156,0.6,0.0,90.4,7.7,1.3,0.0,0.0,2020-21
Phoenix Academy Public Charter High School Springfield (District),35080000,12,61.9,201,13.4,0.5,76.6,6.0,0.5,0.5,2.5,2020-21
Phoenix Charter Academy (District),04930000,30,37.1,216,11.1,0.0,83.8,3.2,1.4,0.0,0.5,2020-21
Pioneer Charter School of Science (District),04940000,344,19.2,801,24.6,6.4,28.8,36.2,1.5,0.0,2.5,2020-21
Pioneer Charter School of Science II (PCSS-II) (District),35060000,155,18.4,360,36.4,13.1,25.6,22.2,0.6,0.0,2.2,2020-21
Pioneer Valley,07500000,406,12.1,631,0.6,0.6,1.9,92.1,0.2,0.5,4.1,2020-21
Pioneer Valley Chinese Immersion Charter (District),04970000,308,17.5,558,10.4,19.5,8.6,48.2,0.0,0.2,13.1,2020-21
Pioneer Valley Performing Arts Charter Public (District),04790000,298,13.9,403,8.2,1.0,20.4,63.0,0.0,0.3,7.2,2020-21
Pittsfield,02360000,"2,269",14.0,"4,967",11.8,1.3,16.5,60.4,0.3,0.0,9.6,2020-21
Plainville,02380000,124,19.2,632,5.5,3.3,7.9,79.6,0.0,0.0,3.6,2020-21
Plymouth,02390000,"5,125",15.3,"7,102",2.1,1.0,6.8,85.0,0.2,0.0,4.9,2020-21
Plympton,02400000,111,14.7,220,0.0,0.0,2.3,96.8,0.5,0.0,0.5,2020-21
Prospect Hill Academy Charter (District),04870000,445,18.3,"1,105",57.0,7.2,21.0,10.8,0.0,0.2,3.9,2020-21
Provincetown,02420000,52,11.3,147,23.8,0.7,14.3,52.4,0.0,0.0,8.8,2020-21
Quabbin,07530000,"1,258",14.4,"2,116",1.1,1.3,6.1,89.2,0.1,0.1,2.1,2020-21
Quaboag Regional,07780000,597,14.7,"1,128",0.8,0.4,6.8,87.9,0.1,0.0,4.1,2020-21
Quincy,02430000,"6,287",12.7,"9,515",7.3,40.3,8.5,39.7,0.2,0.3,3.7,2020-21
Ralph C Mahar,07550000,548,15.3,622,1.8,1.6,7.9,84.6,0.2,0.0,4.0,2020-21
Randolph,02440000,"1,078",13.6,"2,696",49.4,17.6,16.2,11.8,0.3,0.1,4.6,2020-21
Reading,02460000,"1,760",16.7,"3,980",2.6,5.5,3.3,86.1,0.1,0.0,2.5,2020-21
Revere,02480000,"4,140",15.6,"7,294",3.6,4.4,58.5,31.5,0.3,0.0,1.8,2020-21
Richmond,02490000,113,14.7,151,1.3,0.0,7.3,87.4,0.0,0.0,4.0,2020-21
Rising Tide Charter Public (District),04830000,303,20.0,668,0.9,1.4,3.9,85.8,1.1,0.0,7.0,2020-21
River Valley Charter (District),04820000,146,11.7,286,0.4,1.4,5.6,88.1,0.4,0.0,4.2,2020-21
Rochester,02500000,367,16.8,493,0.2,0.0,2.6,92.9,0.0,0.0,4.3,2020-21
Rockland,02510000,"1,446",14.4,"2,211",6.3,1.3,17.6,70.2,0.0,0.0,4.6,2020-21
Rockport,02520000,459,14.7,770,0.7,1.8,3.6,90.4,0.0,0.1,3.4,2020-21
Rowe,02530000,21,16.1,63,0.0,0.0,4.8,81.0,0.0,0.0,14.3,2020-21
Roxbury Preparatory Charter (District),04840000,335,29.9,"1,589",56.2,0.6,40.4,1.3,0.2,0.1,1.2,2020-21
Sabis International Charter (District),04410000,446,27.0,"1,565",28.4,3.7,45.2,17.2,0.0,0.0,5.4,2020-21
Salem,02580000,"2,245",13.5,"3,772",6.6,2.6,43.9,42.4,0.0,0.0,4.5,2020-21
Salem Academy Charter (District),04850000,250,19.0,491,11.2,5.9,43.8,37.1,0.0,0.0,2.0,2020-21
Sandwich,02610000,"1,367",15.6,"2,351",1.2,2.3,3.4,90.8,0.6,0.2,1.4,2020-21
Saugus,02620000,"1,099",17.0,"2,425",5.4,5.5,22.8,62.5,0.8,0.4,2.6,2020-21
Savoy,02630000,61,5.7,45,2.2,0.0,2.2,95.6,0.0,0.0,0.0,2020-21
Scituate,02640000,"1,470",18.2,"2,879",2.6,0.7,2.1,92.3,0.1,0.0,2.2,2020-21
Seekonk,02650000,863,15.7,"2,014",2.1,3.6,6.0,84.4,0.0,0.0,3.9,2020-21
Sharon,02660000,"1,529",19.0,"3,520",5.1,30.0,5.9,52.6,0.1,0.1,6.2,2020-21
Shawsheen Valley Regional Vocational Technical,08710000,717,16.3,"1,302",0.9,0.8,5.8,90.5,0.4,0.0,1.6,2020-21
Sherborn,02690000,217,15.7,391,3.1,8.4,4.6,77.5,0.0,0.0,6.4,2020-21
Shrewsbury,02710000,"2,551",18.2,"6,046",3.4,33.2,9.3,49.2,0.5,0.0,4.4,2020-21
Shutesbury,02720000,55,14.8,116,1.7,0.9,10.3,82.8,0.9,0.0,3.5,2020-21
Silver Lake,07600000,814,18.9,"1,729",1.3,1.0,2.6,93.6,0.4,0.0,1.2,2020-21
Sizer School: A North Central Charter Essential (District),04740000,234,13.0,370,7.0,1.4,25.4,63.0,0.5,0.0,2.7,2020-21
Somerset,02730000,939,18.4,"1,623",0.9,1.7,4.9,89.2,0.3,0.0,3.0,2020-21
Somerset Berkley Regional School District,07630000,448,18.0,"1,007",1.1,0.5,4.4,92.4,0.2,0.1,1.4,2020-21
Somerville,02740000,"2,366",12.3,"4,624",8.9,6.2,41.1,39.2,0.1,0.2,4.4,2020-21
South Hadley,02780000,697,17.4,"1,788",1.8,2.0,16.0,77.4,0.1,0.0,2.8,2020-21
South Middlesex Regional Vocational Technical,08290000,761,12.6,815,4.8,1.4,41.1,47.7,2.0,0.0,3.1,2020-21
South Shore Charter Public (District),04880000,534,15.3,"1,013",35.7,5.5,6.3,45.7,0.4,0.0,6.3,2020-21
South Shore Regional Vocational Technical,08730000,247,15.0,637,1.7,1.1,4.6,91.2,0.3,0.0,1.1,2020-21
Southampton,02750000,173,15.1,460,0.2,1.5,7.2,87.6,0.0,0.0,3.5,2020-21
Southborough,02760000,501,14.9,"1,243",1.7,20.0,5.7,67.4,0.2,0.0,5.1,2020-21
Southbridge,02770000,895,15.7,"1,886",1.8,1.3,62.5,32.1,0.2,0.2,2.0,2020-21
Southeastern Regional Vocational Technical,08720000,"1,408",8.2,"1,527",35.7,1.7,14.0,42.9,0.0,0.0,5.7,2020-21
Southern Berkshire,07650000,470,12.1,655,1.4,0.2,8.9,84.4,0.5,0.0,4.7,2020-21
Southern Worcester County Regional Vocational Technical,08760000,993,13.5,"1,168",0.9,0.7,11.4,85.0,0.1,0.0,1.9,2020-21
Southwick-Tolland-Granville Regional School District,07660000,774,14.4,"1,403",1.8,1.0,5.4,89.3,0.3,0.0,2.3,2020-21
Spencer-E Brookfield,07670000,469,15.5,"1,353",2.7,1.3,16.3,75.5,0.2,0.0,3.9,2020-21
Springfield,02810000,"21,372",11.5,"24,098",18.6,2.1,68.0,9.0,0.1,0.0,2.2,2020-21
Springfield Preparatory Charter School (District),35100000,87,32.5,374,17.4,2.4,69.0,9.4,0.0,0.0,1.9,2020-21
Stoneham,02840000,"1,483",13.4,"2,288",2.2,5.8,10.0,77.8,0.3,0.0,3.9,2020-21
Stoughton,02850000,"1,941",16.0,"3,436",25.0,6.1,14.7,48.0,0.2,0.3,5.8,2020-21
Sturbridge,02870000,295,17.7,809,1.0,1.5,7.3,84.8,0.3,0.0,5.2,2020-21
Sturgis Charter Public (District),04890000,453,14.1,853,2.5,2.9,4.9,86.5,0.4,0.1,2.7,2020-21
Sudbury,02880000,"1,918",15.2,"2,547",2.9,9.8,5.5,73.8,0.0,0.2,7.8,2020-21
Sunderland,02890000,153,13.3,190,4.7,6.3,11.6,69.0,0.0,0.0,8.4,2020-21
Sutton,02900000,463,17.4,"1,258",1.1,1.4,4.0,89.7,0.0,0.1,3.7,2020-21
Swampscott,02910000,"1,208",16.8,"2,134",3.7,2.7,12.1,78.1,0.2,0.0,3.1,2020-21
Swansea,02920000,"1,786",8.9,"2,013",0.9,1.2,2.7,93.5,0.2,0.0,1.4,2020-21
TEC Connections Academy Commonwealth Virtual School District,39020000,592,45.8,"2,661",7.8,2.6,18.9,63.4,0.2,0.3,6.8,2020-21
Tantasqua,07700000,"1,186",14.8,"1,776",1.2,1.1,6.5,87.3,0.1,0.1,3.8,2020-21
Taunton,02930000,"3,299",19.4,"7,861",19.8,1.1,13.6,59.3,0.3,0.2,5.7,2020-21
Tewksbury,02950000,"1,487",17.9,"3,221",4.0,4.1,6.6,83.3,0.1,0.0,1.9,2020-21
Tisbury,02960000,205,13.8,292,6.5,0.7,36.6,49.3,2.1,0.0,4.8,2020-21
Topsfield,02980000,204,15.1,585,0.2,1.5,4.6,90.4,0.9,0.0,2.4,2020-21
Tri-County Regional Vocational Technical,08780000,569,16.6,946,1.0,0.9,7.8,85.4,0.1,0.1,4.8,2020-21
Triton,07730000,"1,124",16.9,"2,198",1.6,2.1,3.9,90.1,0.1,0.1,2.0,2020-21
Truro,03000000,61,15.4,113,8.0,0.0,6.2,67.3,0.0,0.0,18.6,2020-21
Tyngsborough,03010000,966,17.6,"1,604",4.7,9.0,7.2,75.2,0.2,0.0,3.7,2020-21
UP Academy Charter School of Boston (District),04800000,138,22.1,364,44.5,3.3,48.4,2.5,0.3,0.6,0.6,2020-21
UP Academy Charter School of Dorchester (District),35050000,138,31.9,722,54.9,0.3,40.9,1.4,0.1,0.7,1.8,2020-21
Up-Island Regional,07740000,147,14.1,413,1.7,1.0,8.5,77.0,3.9,0.0,8.0,2020-21
Upper Cape Cod Regional Vocational Technical,08790000,346,14.1,708,3.3,1.1,4.1,83.5,1.0,0.1,6.9,2020-21
Uxbridge,03040000,859,16.0,"1,598",1.3,1.4,6.0,88.4,0.6,0.1,2.3,2020-21
Veritas Preparatory Charter School (District),04980000,75,27.0,405,20.5,1.7,70.1,4.0,0.7,0.3,2.7,2020-21
Wachusett,07750000,"3,032",18.0,"6,656",2.7,3.2,6.4,85.2,0.1,0.0,2.5,2020-21
Wakefield,03050000,"1,476",16.1,"3,331",2.8,3.7,7.9,82.2,0.2,0.2,3.1,2020-21
Wales,03060000,41,16.2,129,1.6,0.0,1.6,93.8,0.8,0.0,2.3,2020-21
Walpole,03070000,"1,502",15.3,"3,659",3.5,6.8,6.5,79.6,0.3,0.1,3.2,2020-21
Waltham,03080000,"3,761",13.5,"5,549",9.3,5.1,43.1,40.1,0.1,0.0,2.4,2020-21
Ware,03090000,409,18.9,"1,168",1.6,0.4,8.8,85.0,0.2,0.3,3.7,2020-21
Wareham,03100000,"1,319",13.5,"2,052",7.7,0.9,8.7,68.4,1.4,0.1,12.9,2020-21
Watertown,03140000,"1,827",12.5,"2,552",4.6,7.4,19.3,62.9,0.4,0.0,5.4,2020-21
Wayland,03150000,"1,372",16.3,"2,718",5.1,15.2,4.9,68.2,0.0,0.1,6.5,2020-21
Webster,03160000,823,17.2,"1,679",6.1,1.7,33.2,52.5,0.2,0.1,6.4,2020-21
Wellesley,03170000,"2,523",14.8,"4,442",3.7,15.3,5.6,68.0,0.0,0.0,7.4,2020-21
Wellfleet,03180000,88,11.7,99,1.0,0.0,4.0,79.8,0.0,0.0,15.2,2020-21
West Boylston,03220000,617,13.9,895,3.7,1.9,11.5,78.1,0.1,0.2,4.5,2020-21
West Bridgewater,03230000,870,18.7,"1,414",6.7,1.1,5.9,81.1,0.1,0.1,5.0,2020-21
West Springfield,03320000,"2,374",10.7,"3,917",3.6,8.9,21.7,62.2,0.1,0.1,3.5,2020-21
Westborough,03210000,"1,998",15.8,"3,845",2.2,35.4,8.2,50.8,0.1,0.1,3.2,2020-21
Westfield,03250000,"2,697",16.0,"4,927",2.4,3.1,17.8,73.2,0.1,0.0,3.4,2020-21
Westford,03260000,"3,064",12.6,"4,759",1.5,29.4,2.5,62.4,0.1,0.0,4.1,2020-21
Westhampton,03270000,65,12.7,110,2.7,0.0,5.5,89.1,0.0,0.0,2.7,2020-21
Weston,03300000,"1,040",14.2,"1,905",6.6,17.5,6.5,63.7,0.1,0.1,5.6,2020-21
Westport,03310000,846,15.2,"1,379",0.6,0.4,4.1,90.9,0.2,0.0,3.8,2020-21
Westwood,03350000,"1,799",13.0,"2,970",2.1,12.0,4.9,76.0,0.0,0.0,4.9,2020-21
Weymouth,03360000,"2,754",17.4,"5,698",7.3,7.0,12.5,68.2,0.2,0.1,4.7,2020-21
Whately,03370000,87,14.3,116,0.9,0.0,3.5,94.0,0.0,0.0,1.7,2020-21
Whitman-Hanson,07800000,"1,394",17.5,"3,611",3.2,1.4,6.0,85.8,0.4,0.1,3.1,2020-21
Whittier Regional Vocational Technical,08850000,742,12.6,"1,236",2.9,1.5,25.4,66.2,0.5,0.0,3.5,2020-21
Williamsburg,03400000,69,12.5,117,3.4,0.0,5.1,89.7,0.0,0.0,1.7,2020-21
Wilmington,03420000,"1,859",14.9,"2,846",1.4,5.8,4.7,84.1,0.1,0.0,3.9,2020-21
Winchendon,03430000,405,17.8,"1,191",2.1,1.9,7.0,85.2,0.1,0.3,3.5,2020-21
Winchester,03440000,"3,451",12.8,"4,493",1.2,19.0,3.4,69.9,0.2,0.0,6.3,2020-21
Winthrop,03460000,661,20.6,"1,847",1.4,0.7,16.0,80.5,0.1,0.1,1.4,2020-21
Woburn,03470000,"2,985",13.8,"4,332",7.5,7.1,12.4,68.4,0.8,0.2,3.5,2020-21
Worcester,03480000,"11,791",14.1,"20,660",17.3,6.2,42.9,29.0,0.2,0.0,4.5,2020-21
Worthington,03490000,60,6.0,58,0.0,0.0,5.2,91.4,1.7,0.0,1.7,2020-21
Wrentham,03500000,404,18.4,893,1.8,3.0,5.4,84.8,0.3,0.2,4.5,2020-21
State Totals,00000000,"502,941",15.5,"912,474",9.4,7.2,22.4,56.5,0.2,0.1,4.1,2020-21
Abby Kelley Foster Charter Public (District),04450000,711,19.0,"1,424",52.6,3.4,20.7,19.4,0.4,0.1,3.4,2019-20
Abington,00010000,"1,034",22.4,"2,194",4.7,2.6,10.1,80.9,0.5,0.1,1.3,2019-20
Academy Of the Pacific Rim Charter Public (District),04120000,185,19.1,539,60.1,1.1,28.9,8.4,0.0,0.0,1.5,2019-20
Acton-Boxborough,06000000,"2,190",20.2,"5,463",2.8,33.2,6.0,52.8,0.2,0.1,4.9,2019-20
Acushnet,00030000,546,20.2,"1,016",0.9,0.9,4.1,90.2,0.1,0.0,3.8,2019-20
Advanced Math and Science Academy Charter (District),04300000,510,18.1,964,2.3,17.3,6.5,67.1,0.1,0.0,6.6,2019-20
Agawam,00050000,"2,460",15.4,"3,704",2.1,3.4,9.3,82.2,0.0,0.0,2.9,2019-20
Alma del Mar Charter School (District),04090000,225,24.2,641,14.2,0.2,60.2,21.5,0.8,0.0,3.1,2019-20
Amesbury,00070000,"1,114",16.6,"2,036",1.9,1.2,9.2,83.6,0.1,0.2,3.9,2019-20
Amherst,00080000,361,19.3,"1,127",9.9,12.5,21.7,48.7,0.3,0.1,6.7,2019-20
Amherst-Pelham,06050000,"1,031",14.0,"1,332",8.6,9.7,18.2,53.9,0.2,0.0,9.5,2019-20
Andover,00090000,"2,783",17.5,"5,877",2.6,19.0,7.0,67.8,0.1,0.1,3.4,2019-20
Argosy Collegiate Charter School (District),35090000,189,22.2,500,13.0,1.6,22.4,58.8,0.4,0.0,3.8,2019-20
Arlington,00100000,"2,800",17.7,"6,086",3.3,13.0,6.2,70.5,0.1,0.1,6.8,2019-20
Ashburnham-Westminster,06100000,"1,438",18.6,"2,400",0.8,1.0,5.3,90.1,0.1,0.0,2.8,2019-20
Ashland,00140000,"1,315",19.9,"2,891",2.6,15.6,13.5,64.6,0.6,0.0,3.1,2019-20
Assabet Valley Regional Vocational Technical,08010000,646,16.4,"1,130",1.9,0.5,18.9,76.2,0.3,0.0,2.3,2019-20
Athol-Royalston,06150000,737,18.5,"1,545",1.9,1.0,10.0,83.2,0.1,0.0,3.8,2019-20
Atlantis Charter (District),04910000,521,23.9,"1,304",5.5,1.9,13.2,75.3,0.2,0.1,3.8,2019-20
Attleboro,00160000,"2,665",21.4,"6,074",6.7,4.5,15.7,66.6,0.2,0.1,6.2,2019-20
Auburn,00170000,"1,462",18.7,"2,647",2.1,4.2,9.5,80.7,0.1,0.0,3.4,2019-20
Avon,00180000,367,13.1,736,30.4,4.8,10.6,47.0,0.5,0.0,6.7,2019-20
Ayer Shirley School District,06160000,870,19.0,"1,675",3.8,2.6,11.0,75.9,0.8,0.3,5.6,2019-20
Barnstable,00200000,"2,301",16.8,"5,054",7.9,2.0,18.9,64.6,0.4,0.1,6.1,2019-20
Baystate Academy Charter Public School (District),35020000,308,15.0,462,28.4,0.7,57.4,11.5,0.0,0.4,1.7,2019-20
Bedford,00230000,"1,199",16.0,"2,684",6.3,18.8,6.7,62.7,0.1,0.0,5.4,2019-20
Belchertown,00240000,"1,234",16.4,"2,258",1.8,1.2,5.0,88.2,0.2,0.2,3.5,2019-20
Bellingham,00250000,842,17.9,"2,142",2.4,2.9,6.2,85.1,0.1,0.4,2.9,2019-20
Belmont,00260000,"1,804",22.2,"4,770",3.1,20.8,3.9,64.2,0.1,0.1,7.8,2019-20
Benjamin Banneker Charter Public (District),04200000,65,22.1,337,82.5,0.9,9.2,2.7,0.3,0.6,3.9,2019-20
Benjamin Franklin Classical Charter Public (District),04470000,225,24.5,708,3.1,20.3,4.8,66.7,0.4,0.0,4.7,2019-20
Bentley Academy Charter School (District),35110000,146,17.7,323,13.0,2.2,61.0,21.4,0.0,0.0,2.5,2019-20
Berkley,00270000,325,20.0,919,0.5,0.3,2.1,93.0,0.1,0.1,3.8,2019-20
Berkshire Arts and Technology Charter Public (District),04140000,149,18.6,366,12.0,2.7,10.1,69.4,0.3,0.0,5.5,2019-20
Berkshire Hills,06180000,728,15.1,"1,198",1.2,3.3,11.0,78.8,0.2,0.3,5.3,2019-20
Berlin-Boylston,06200000,607,16.5,"1,054",1.9,4.0,6.0,84.2,0.1,0.2,3.7,2019-20
Beverly,00300000,"1,594",21.0,"4,764",3.4,2.4,14.7,75.6,0.1,0.0,3.8,2019-20
Billerica,00310000,"2,217",19.0,"4,866",5.2,8.4,7.5,75.7,0.1,0.0,3.1,2019-20
Blackstone Valley Regional Vocational Technical,08050000,818,16.9,"1,224",1.0,1.7,6.1,89.1,0.0,0.1,2.0,2019-20
Blackstone-Millville,06220000,823,17.3,"1,655",1.5,0.6,7.9,86.0,0.0,0.0,4.0,2019-20
Blue Hills Regional Vocational Technical,08060000,435,14.4,843,21.5,1.8,14.7,55.6,0.6,0.1,5.7,2019-20
Boston,00350000,"21,684",17.4,"52,049",30.2,8.8,42.7,14.6,0.3,0.2,3.2,2019-20
Boston Collegiate Charter (District),04490000,311,19.7,721,33.6,1.8,18.2,43.4,0.3,0.0,2.8,2019-20
Boston Day and Evening Academy Charter (District),04240000,370,15.5,437,47.4,0.7,44.9,5.5,0.5,0.0,1.1,2019-20
Boston Green Academy Horace Mann Charter School (District),04110000,217,16.4,483,43.7,1.7,43.5,7.7,0.2,0.4,2.9,2019-20
Boston Preparatory Charter Public (District),04160000,242,19.7,575,66.6,0.5,27.5,2.1,0.0,0.2,3.1,2019-20
Boston Renaissance Charter Public (District),04810000,312,18.8,957,62.8,0.2,31.9,1.5,0.1,0.0,3.6,2019-20
Bourne,00360000,929,19.1,"1,889",1.9,1.9,5.5,86.0,1.0,0.1,3.7,2019-20
Boxford,00380000,305,17.3,748,0.5,3.7,3.5,86.0,0.1,0.0,6.2,2019-20
Braintree,00400000,"3,036",17.5,"5,828",4.7,21.8,4.9,66.6,0.2,0.1,1.7,2019-20
Brewster,00410000,255,19.0,473,2.3,0.4,9.1,82.2,0.0,0.0,5.9,2019-20
Bridge Boston Charter School (District),04170000,112,16.7,335,67.8,0.9,26.3,2.1,0.0,0.0,3.0,2019-20
Bridgewater-Raynham,06250000,"1,879",20.5,"5,449",6.6,2.3,2.5,83.7,0.1,0.1,4.7,2019-20
Brimfield,00430000,81,18.9,311,1.3,1.0,3.5,93.6,0.3,0.0,0.3,2019-20
Bristol County Agricultural,09100000,235,17.4,451,1.8,0.4,4.7,91.6,0.0,0.2,1.3,2019-20
Bristol-Plymouth Regional Vocational Technical,08100000,969,17.5,"1,290",2.9,0.7,6.2,85.7,0.6,0.0,3.9,2019-20
Brockton,00440000,"8,017",19.4,"16,281",60.3,2.0,16.9,15.9,0.4,0.2,4.4,2019-20
Brooke Charter School (District),04280000,837,19.1,"1,968",53.8,1.8,38.3,4.1,0.2,0.0,1.9,2019-20
Brookfield,00450000,77,19.9,307,0.3,0.0,5.5,90.2,0.0,0.0,3.9,2019-20
Brookline,00460000,"4,512",17.0,"7,813",5.9,20.5,10.3,53.1,0.0,0.1,10.1,2019-20
Burlington,00480000,"1,781",16.1,"3,554",6.8,17.3,7.3,64.4,0.2,0.0,4.0,2019-20
Cambridge,00490000,"3,910",15.1,"7,156",22.9,12.7,14.2,40.8,0.3,0.1,9.1,2019-20
Canton,00500000,"2,331",18.8,"3,336",11.0,10.9,5.9,65.9,0.1,0.2,6.2,2019-20
Cape Cod Lighthouse Charter (District),04320000,150,16.5,239,2.1,2.1,5.4,85.4,0.4,0.0,4.6,2019-20
Cape Cod Regional Vocational Technical,08150000,403,13.8,601,8.3,0.5,13.6,71.4,1.3,0.2,4.7,2019-20
Carlisle,00510000,314,18.1,602,0.5,11.3,5.0,73.3,0.0,0.3,9.6,2019-20
Carver,00520000,800,17.6,"1,563",1.7,0.3,1.5,95.1,0.3,0.1,1.1,2019-20
Central Berkshire,06350000,711,17.7,"1,577",0.3,0.6,4.8,90.4,0.2,0.0,3.7,2019-20
Chelmsford,00560000,"2,441",17.7,"5,097",3.5,15.7,6.9,70.2,0.2,0.1,3.5,2019-20
Chelsea,00570000,"1,941",22.9,"6,507",4.4,0.2,87.4,6.5,0.1,0.0,1.3,2019-20
Chesterfield-Goshen,06320000,65,14.6,131,0.8,0.0,2.3,94.7,1.5,0.0,0.8,2019-20
Chicopee,00610000,"2,891",17.9,"7,453",4.5,2.2,39.6,50.3,0.1,0.0,3.3,2019-20
Christa McAuliffe Charter Public (District),04180000,154,21.3,398,6.5,8.3,29.9,49.5,0.3,0.0,5.5,2019-20
City on a Hill Charter Public School Circuit Street (District),04370000,113,9.5,211,64.0,0.0,33.7,1.4,0.0,0.0,1.0,2019-20
City on a Hill Charter Public School Dudley Square (District),35040000,111,8.9,181,64.6,0.6,30.4,3.3,0.0,0.0,1.1,2019-20
City on a Hill Charter Public School New Bedford (District),35070000,32,12.6,121,14.1,0.8,49.6,26.5,0.8,0.0,8.3,2019-20
Clarksburg,00630000,93,17.5,194,0.5,0.0,2.6,93.8,0.0,0.0,3.1,2019-20
Clinton,00640000,797,18.4,"1,923",3.3,1.3,27.0,66.2,0.0,0.1,2.1,2019-20
Codman Academy Charter Public (District),04380000,162,14.5,353,77.1,0.0,20.4,1.1,0.3,0.0,1.1,2019-20
Cohasset,00650000,836,19.1,"1,502",3.0,2.3,1.3,91.4,0.1,0.0,1.8,2019-20
Collegiate Charter School of Lowell (District),35030000,344,28.1,933,20.5,26.8,35.5,13.8,0.1,0.0,3.3,2019-20
Community Charter School of Cambridge (District),04360000,150,13.9,325,70.5,3.4,16.9,4.0,0.6,0.3,4.3,2019-20
